MANDT,PROFN,AKTPS,SUBPROF
210,S_DDIC15ZDB,A,S_DDIC_AEW
210,S_DDIC15ZDB,A,S_INDX05ZDB
210,S_DDIC15ZDB,A,S_SQLT05ZDB
210,S_DDIC16,A,S_DDIC_AEW
210,S_DDIC16,A,S_INDX06
210,S_DDIC16,A,S_SQLT06
210,S_DDIC16Z,A,S_DDIC_AEW
210,S_DDIC16Z,A,S_INDX06Z
210,S_DDIC16Z,A,S_SQLT06Z
210,S_DMOD01,A,S_DDIC_AEW
210,S_DMOD01,A,S_UDMO01
210,S_DMOD01,A,S_UENO01
210,S_DMOD01Z,A,S_DDIC_AEW
210,S_DMOD01Z,A,S_UDMO01Z
210,S_DMOD01Z,A,S_UENO01Z
210,S_DMOD02,A,S_DDIC_AEW
210,S_DMOD02,A,S_UDMO02
210,S_DMOD02,A,S_UENO02
210,S_DMOD02Z,A,S_DDIC_AEW
210,S_DMOD02Z,A,S_UDMO02Z
210,S_DMOD02Z,A,S_UENO02Z
210,S_DMOD03,A,S_DDIC_AEW
210,S_DMOD03,A,S_UDMO03
210,S_DMOD03,A,S_UENO03
210,S_DMOD03Z,A,S_DDIC_AEW
210,S_DMOD03Z,A,S_UDMO03Z
210,S_DMOD03Z,A,S_UENO03Z
210,S_DMOD04,A,S_DDIC_AEW
210,S_DMOD04,A,S_UDMO04
210,S_DMOD04,A,S_UENO04
210,S_DMOD04Z,A,S_DDIC_AEW
210,S_DMOD04Z,A,S_UDMO04Z
210,S_DMOD04Z,A,S_UENO04Z
210,S_ENTW,A,A_ALL
210,S_ENTW,A,A_IMA_ALL
210,S_ENTW,A,A_IMPR_ALL
210,S_ENTW,A,B_ALE_ALL
210,S_ENTW,A,C_ALL
210,S_ENTW,A,C_CAP_ALL
210,S_ENTW,A,C_CREX_ALL
210,S_ENTW,A,C_CV_ALL
