MANDT,AGR_NAME,LANGU,PROFILE,PTEXT
001,SAP_CA_BP_DEVELOPER_AG,D,T_54000018,Profil zur Aktivittsgruppe SAP_CA_BP_DEVELOPER_AG
001,SAP_CA_BP_IDM_INTEGRATION,E,T_LB090008,Profile for role SAP_CA_BP_IDM_INTEGRATION
001,SAP_CBTA_MANAGED,E,T_C2340389,Profile for role SAP_CBTA_MANAGED
001,SAP_CCA_ALL,E,T_C2340146,Profile for role SAP_CCA_ALL
001,SAP_CCM_PRN_PAL_CLIENT_SYSTEM,E,T_Y3670201,Profile for role SAP_CCM_PRN_PAL_CLIENT_SYSTEM
001,SAP_CDMC_ST14,E,T_C4090044,Profile for role SAP_CDMC_ST14
001,SAP_CTS_PLUS,D,S_ACTSPLUS,CTS plus Profil
001,SAP_CTS_PLUS_ORG_TEMPLATE,D,S_ECTSOTPL,Enhanced CTS Organizer Profiltemplate
001,SAP_CTS_PLUS_TRANSPRT_TEMPLATE,D,S_ECTSTTPL,Enhanced CTS systemspezifisches Transport Profiletemplate
001,SAP_ECATT_ADM,D,S_ECATTADM,Profil zur Rolle SAP_ECATT_ADM
001,SAP_ECET,D,S_ECET_RFC,Profil zur Rolle SAP_ECET
001,SAP_ECH_ADMIN,D,T_S3420031,Profil zur Rolle SAP_ECH_ADMIN
001,SAP_ECH_PROCESSOR,D,T_S3420032,Profil zur Rolle SAP_ECH_PROCESSOR
001,SAP_ECSHOW,D,S_ECSHOW__,Profil zur Rolle SAP_ECSHOW
001,SAP_ECST,D,S_ECST____,Profil zur Rolle SAP_ECST
001,SAP_EPM_REF_APPS_BASIC_AUTH,E,T-NL310001,Profile for role SAP_EPM_REF_APPS_BASIC_AUTH
001,SAP_ESH_BOS_ADMIN,E,T_Y2190078,Profile for role SAP_ESH_BOS_ADMIN
001,SAP_ESH_BOS_RFC_ENDUSER,E,T_LA930183,Profile for role SAP_ESH_BOS_RFC_ENDUSER
001,SAP_ESH_CR_ADMIN,E,T_BE420342,Profile for role SAP_ESH_CR_ADMIN
001,SAP_ESH_CUST_QUERY_LOG,E,T_BE420365,Profile for role SAP_ESH_CUST_QUERY_LOG
