MANDT,AGR_NAME,CHILD_AGR,ATTRIBUTES
001,SAP_XI_CONFIGURATOR,SAP_XI_BPE_CONFIGURATOR_ABAP,
001,SAP_XI_CONFIGURATOR,SAP_XI_CONFIGURATOR_ABAP,
001,SAP_XI_CONFIGURATOR,SAP_XI_CONFIGURATOR_J2EE,
001,SAP_XI_CONFIGURATOR,SAP_XI_DEMOAPP_EXECUTE,
001,SAP_XI_CONFIG_FILE_OS_CMD,SAP_XI_CONFIG_FILE_OS_CMD_J2EE,
001,SAP_XI_CONTENT_ORGANIZER,SAP_SLD_ORGANIZER,
001,SAP_XI_CONTENT_ORGANIZER,SAP_XI_CONTENT_ORGANIZER_ABAP,
001,SAP_XI_CONTENT_ORGANIZER,SAP_XI_CONTENT_ORGANIZER_J2EE,
001,SAP_XI_DEVELOPER,SAP_SLD_DEVELOPER,
001,SAP_XI_DEVELOPER,SAP_XI_DEMOAPP_EXECUTE,
001,SAP_XI_DEVELOPER,SAP_XI_DEVELOPER_ABAP,
001,SAP_XI_DEVELOPER,SAP_XI_DEVELOPER_J2EE,
001,SAP_XI_DISPLAY_USER,SAP_SLD_GUEST,
001,SAP_XI_DISPLAY_USER,SAP_XI_DISPLAY_USER_ABAP,
001,SAP_XI_DISPLAY_USER,SAP_XI_DISPLAY_USER_J2EE,
001,SAP_XI_ID_SERV_USER_MAIN,SAP_BC_WEBSERVICE_PI_CFG_SRV,
001,SAP_XI_ID_SERV_USER_MAIN,SAP_SLD_CONFIGURATOR,
001,SAP_XI_ID_SERV_USER_MAIN,SAP_XI_ID_SERV_USER,
001,SAP_XI_IR_SERV_USER_MAIN,SAP_SLD_CONFIGURATOR,
001,SAP_XI_IR_SERV_USER_MAIN,SAP_XI_IR_SERV_USER,
001,SAP_XI_IS_SERV_USER_MAIN,SAP_SLD_CONFIGURATOR,
001,SAP_XI_IS_SERV_USER_MAIN,SAP_XI_IS_SERV_USER,
001,SAP_XI_MONITOR,SAP_SLD_GUEST,
001,SAP_XI_MONITOR,SAP_XI_BPE_MONITOR_ABAP,
001,SAP_XI_MONITOR,SAP_XI_BPE_MONITOR_J2EE,
001,SAP_XI_MONITOR,SAP_XI_DEMOAPP_EXECUTE,
001,SAP_XI_MONITOR,SAP_XI_MONITOR_ABAP,
001,SAP_XI_MONITOR,SAP_XI_MONITOR_J2EE,
001,SAP_XI_MONITOR_ENHANCED,SAP_SLD_GUEST,
001,SAP_XI_MONITOR_ENHANCED,SAP_XI_BPE_MONITOR_ABAP,
001,SAP_XI_MONITOR_ENHANCED,SAP_XI_DEMOAPP,
001,SAP_XI_MONITOR_ENHANCED,SAP_XI_MESSAGE_MODIFY,
001,SAP_XI_MONITOR_ENHANCED,SAP_XI_MONITOR_ABAP,
001,SAP_XI_MONITOR_ENHANCED,SAP_XI_MONITOR_J2EE,
001,SAP_XI_RWB_SERV_USER_MAIN,SAP_SLD_CONFIGURATOR,
001,SAP_XI_RWB_SERV_USER_MAIN,SAP_XI_RWB_SERV_USER,
001,SAP_XI_SUPPORT,SAP_SLD_GUEST,
001,SAP_XI_SUPPORT,SAP_XI_DISPLAY_USER_ABAP,
001,SAP_XI_SUPPORT,SAP_XI_DISPLAY_USER_J2EE,
001,SAP_XI_SUPPORT,SAP_XI_SUPPORT_ABAP,
001,SAP_XI_SUPPORT,SAP_XI_SUPPORT_J2EE,
001,YAC_TEST,ZAC_TEST,
