MANDT,AGR_NAME,COUNTER,PROFILE,VARIANT,GENERATED,PSTATE
210,SAP_BC_STWB_WORK_ALL,1,T_BE112949,,X,
210,SAP_BC_STWB_WORK_DIS,1,T_BE112950,,X,
210,SAP_BC_TC_DEVELOP_ALL,1,T_BE112943,,X,
210,SAP_BC_TC_DEVELOP_DIS,1,T_BE112944,,X,
210,SAP_BC_TRANSPORT_ADMINISTRATOR,1,T_BA800078,,X,
210,SAP_BC_TRANSPORT_OPERATOR,1,T_BA800096,,X,
210,SAP_BC_TREX_ADMIN,1,T_YA670150,,X,A
210,SAP_BC_USER_ADMIN,1,T_BA800095,,X,
210,SAP_BC_USR_CUA_CENTRAL,1,T_YA670106,,X,
210,SAP_BC_USR_CUA_CENTRAL_BDIST,1,T_YA670107,,X,
210,SAP_BC_UWL_ADMIN_USER,1,T_YA670144,,X,A
210,SAP_BC_UWL_END_USER,1,T_YA670145,,X,A
210,SAP_BC_UWL_SERVICE,1,T_BI660089,,X,A
210,SAP_BC_WEBSERVICE_ADMIN,1,T_BA760008,,X,A
210,SAP_BPT_GBT_ADMINISTRATION,1,T_56184361,,X,A
210,SAP_BW_ALL,1,T_B6240003,,X,A
210,SAP_BW_ALL,2,T_B62400031,,X,A
210,SAP_BW_ALL,3,T_B62400032,,X,A
210,SAP_BW_ANZEIGER,1,T_B5590062,,X,A
210,SAP_BW_ANZEIGER,2,T_B55900621,,X,A
210,SAP_BW_ANZEIGER,3,T_B55900622,,X,A
210,SAP_BW_ANZEIGER,4,T_B55900623,,X,A
210,SAP_BW_ANZEIGER,5,T_B55900624,,X,A
210,SAP_BW_ANZEIGER,6,T_B55900625,,X,A
210,SAP_BW_DEVELOPER,1,S_BW_D____,,X,A
210,SAP_BW_DEVELOPER,2,S_BW_D____1,,X,A
210,SAP_B_ALE_GRP_AD_T_56184456,1,T_56184456,,X,A
210,SAP_B_ALE_GRP_AL_T_56184457,1,T_56184457,,X,A
210,SAP_CA_BFA_DATATRANSFER,1,T_BE060028,,X,
210,SAP_CA_BP_DEVELOPER_AG,1,T_54000018,,X,A
210,SAP_CA_CL_DISPLAY,1,T_P0920433,,X,
210,SAP_CA_CL_MAINTAIN,1,T_P0920432,,X,
210,SAP_CA_DMS_ADMIN,1,T_P0920983,,X,
210,SAP_CA_DMS_DISPLAY,1,T_P0920430,,X,
210,SAP_CA_DMS_MAINTAIN,1,T_P0920431,,X,
210,SAP_CA_NO_NOTIFVIAWEB_EXT,1,T_P0920849,,X,
210,SAP_CA_NO_NOTIF_GENERAL,1,T_P0920116,,X,
210,SAP_CA_NO_NOTIF_ISR,1,T_P0920117,,X,
210,SAP_CA_PLM_BUSINESS_PARTNER,1,T_P0920440,,X,
210,SAP_CFM_ADMINISTRATOR,1,T_KM070006,,X,A
210,SAP_CFM_ADMINISTRATOR,2,T_KM0700061,,X,A
210,SAP_CFM_DEALER,1,T_KM070013,,X,A
210,SAP_CFM_IHC_SUPERVISOR,1,T_KM070014,,X,A
210,SAP_CFM_LIMIT_MANAGER,1,T_KM070016,,X,
210,SAP_CFM_RISK_CONTROLLER,1,T_KM070017,,X,A
210,SAP_CFM_TM_BACKOFFICE_PROCES,1,T_KM070018,,X,A
210,SAP_CFM_TM_FUND_MANAGER,1,T_KM070019,,X,A
210,SAP_CFM_TM_STAFF_ACCOUNTANT,1,T_KM070020,,X,A
210,SAP_CFM_TM_TRADE_CONTROLLER,1,T_KM070021,,X,A
210,SAP_CFM_TREASURY_MANAGER,1,T_KM070022,,X,A
210,SAP_CGV_MIC_ALL,1,T_X4830004,,X,A
210,SAP_CGV_MIC_BUSINESS_USER,1,T_X4830005,,X,A
